TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
155.411156463,-216.666,26.5654,-10.0503,8.23646,-10.7226,11.9262,-16.9192,12.7435,-8.91947,0.224375,-5.27639,1.04375,-3.62303,5.25093,-0.428434,-1.47292,-1.40206,-7.48045,0.847827,-5.5738,3.52432
155.434376417,-236.018,34.6296,-6.95949,-2.39172,-7.85869,5.12129,-12.0081,11.1203,-10.8522,2.04412,-9.21974,3.2229,-0.860326,2.85469,-1.56671,0.936323,-4.62962,-2.809,2.11011,-1.88058,-0.319156
155.457596372,-249.717,43.9258,-13.1518,1.8986,-8.21301,0.986141,-9.85231,3.59664,-5.05176,-1.78887,-6.55113,0.924079,-3.20363,0.463076,-0.657784,0.7144,-4.23068,-2.57405,2.23141,-1.50364,1.56674
155.480816327,-234.247,35.1127,-9.00018,1.56373,-7.01548,5.83464,-9.21603,3.7185,-7.79145,-0.741389,-8.27488,1.22117,-5.31003,1.4339,0.210922,-1.96882,-5.94357,-1.0517,-1.9492,-1.06332,-3.51813
155.504036281,-233.299,39.9997,-10.4852,3.60001,-6.67517,5.74906,-4.53471,4.84349,-7.44891,0.00764072,-3.6047,5.11902,-2.09749,3.61659,-0.947783,1.18721,-4.87456,-0.517106,0.824288,-1.17445,-1.81445
155.527256236,-169.421,1.28713,0.26259,4.21727,-13.1545,7.13676,-3.71801,5.1197,-5.83198,1.1606,-5.13569,0.590405,-2.26025,3.20872,-0.0601027,-1.31916,-2.42784,0.41969,-2.79167,-0.109702,-1.95057
155.550476190,-173.378,7.74562,4.75019,13.072,-2.70306,13.8346,2.37812,8.32534,-0.736029,0.963564,-8.38133,0.823527,-3.26577,3.1883,-0.861683,4.32795,-3.26102,-1.27001,-4.84045,2.1164,-2.48028
155.573696145,-164.792,12.5889,1.98668,4.68634,-0.46275,14.4392,-5.17526,10.9786,-4.28482,4.22136,-2.45225,3.77722,-5.6939,5.0183,-1.29334,6.33648,-1.9717,3.22931,-8.65776,4.88655,-3.96032
155.596916100,-165.964,13.4762,5.44074,4.13218,-1.83896,13.1319,-5.89772,5.86401,-5.56274,0.0865056,-6.99892,1.89201,-6.66917,1.92564,-4.3541,3.61907,-0.458013,1.46099,-3.65281,4.09265,-3.86368
155.620136054,-183.018,15.8201,10.2463,1.14212,-0.583351,12.708,-4.28483,5.81627,-4.57462,-0.932665,-4.71499,1.10662,-8.04534,5.31335,-3.86003,5.87652,0.140379,0.0771884,-2.28099,1.62729,-2.65553
155.643356009,-174.765,24.4138,7.90439,-5.5256,-10.243,6.51773,-8.57678,2.53571,-0.641285,-0.139765,-4.04732,5.6309,-5.55623,4.48319,-7.73769,3.78668,0.241875,3.77158,-0.880687,1.72178,2.91295
155.666575964,-181.993,28.9553,7.15452,-2.78089,-11.4297,9.3937,-9.67075,4.72881,-3.05818,1.58483,-3.32691,6.44213,-6.68227,3.72453,-7.50448,4.59098,-0.456849,4.99947,-2.87219,3.59692,0.419784
155.689795918,-185.164,24.2637,7.40125,-1.91078,-12.3019,9.91517,-9.50699,7.58388,-5.1743,-0.781163,-3.742,7.30959,-7.24478,3.26375,-5.90751,5.66971,-1.4409,7.14434,0.515823,4.6007,2.93172
155.713015873,-188.954,29.5297,7.38475,-0.882159,-12.6564,12.2705,-11.6284,9.04125,-4.95941,-0.369284,-2.98615,8.32113,-8.70065,6.1654,-6.67296,2.42199,-0.569823,4.14973,-0.132616,2.3682,3.05094
155.736235828,-192.993,30.9912,5.32905,3.30624,-18.23,12.4709,-13.8568,10.8363,-6.35408,4.67403,-5.32655,9.1395,-6.65207,4.40004,-4.55253,2.44191,-0.794616,2.70475,-0.229577,0.212172,4.54806
155.759455782,-193.233,32.3553,7.16597,-0.0775292,-14.6445,12.3723,-13.7288,11.7493,-8.88573,4.96423,-3.26309,10.575,-6.34153,5.69497,-6.19753,4.8623,-0.125523,3.67221,0.103102,-1.69289,2.49377
155.782675737,-186.492,29.4898,6.42664,-1.29336,-12.5611,11.0437,-10.6703,8.73428,-7.07666,2.94842,-2.73941,8.15788,-7.43728,4.82751,-5.3197,3.17819,-3.27663,5.24822,-0.15769,1.29382,1.35721
155.805895692,-183.05,25.1376,8.97085,-6.12643,-7.48872,4.69594,-6.45718,7.75814,-3.0142,0.00691309,-2.0129,5.8614,-3.82422,3.64885,-5.57974,3.36783,-1.2137,2.90933,1.98994,-0.947778,2.54326
155.829115646,-182.185,27.6784,5.99263,-4.71761,-6.33118,3.7342,-3.93126,3.28929,-0.794236,0.357515,-1.99934,6.64548,-5.56783,5.25188,-2.89253,1.79415,-0.962137,0.62852,1.12382,-1.1525,1.47004
155.852335601,-188.464,31.7595,1.54377,-0.621776,-13.5971,9.22357,-11.416,10.0022,-6.07474,3.30145,-5.60665,8.39539,-10.5348,6.43982,-6.44585,4.13058,-2.73841,1.85381,0.285501,-0.945688,1.80956
155.875555556,-186.133,29.6404,2.05291,-0.767386,-12.2549,8.56313,-12.3394,10.1999,-3.10099,0.85615,-6.81914,11.4124,-12.015,7.28148,-5.73263,4.55555,-3.09782,2.17199,-3.10281,-0.427408,1.96616
155.898775510,-187.994,29.5289,5.21568,-2.56652,-12.547,9.47029,-14.1731,11.4521,-3.25566,1.38114,-6.24373,10.6986,-10.3124,6.04354,-3.38174,3.37798,-3.48078,3.91005,2.34952,0.817325,0.838599
155.921995465,-189.94,27.2094,14.1895,-4.00616,-7.71864,6.61454,-7.35185,4.76725,-3.17198,-0.0643183,-1.54295,7.08472,-3.0871,2.03248,-3.31637,-0.346038,0.37262,4.7509,2.39401,0.266195,1.68097
155.945215420,-204.82,27.9233,17.8851,1.16447,-4.54003,7.08764,-6.35942,6.17697,-1.98885,-4.84697,-3.49444,5.65448,-0.767878,3.00205,-1.55649,-0.164058,-2.08983,3.58811,2.99161,0.752077,-0.965472
155.968435374,-212.353,24.8405,10.104,6.41754,-2.38868,7.84734,-3.57906,7.5158,-1.0418,5.93051,-5.86653,1.71354,-6.39105,3.62557,-3.53969,3.8388,-5.14178,3.11577,-3.00608,2.82351,-1.11892
155.991655329,-204.592,25.1051,14.2433,1.8278,-4.68707,6.46574,-6.7675,2.33972,-2.31481,2.65031,0.177735,6.454,-2.55849,1.79816,-4.85356,1.50254,-2.07142,5.17405,-0.872196,1.98746,1.42937
156.014875283,-187.65,23.3281,9.84469,3.33119,-5.29417,6.79629,-7.61623,4.40345,-2.76388,-1.66716,-5.40051,6.35496,-3.47166,1.60758,-5.86428,0.623842,-2.36803,2.54624,0.784413,1.84009,0.204112
156.038095238,-196.585,28.7968,6.40465,4.63023,-5.4972,7.69133,-8.06987,5.10252,-3.12773,-0.611547,-5.39134,5.32765,-4.79464,1.79937,-8.05697,4.11294,-1.41149,0.0174426,-4.1705,1.60095,0.657164
156.061315193,-198.112,33.6493,4.91045,4.41906,-5.21017,8.49316,-8.21326,5.52832,-7.8496,-1.49995,-3.6508,3.86966,-4.57752,5.20486,-6.93821,5.71398,-1.90043,0.342118,-2.83269,-0.90036,1.6534
156.084535147,-198.977,32.0949,5.44148,5.33529,-4.89146,10.6024,-9.2972,7.00264,-6.46982,0.0447749,-1.78581,2.74064,-2.55858,7.28111,-5.59551,2.7618,-1.84063,2.74046,-0.412622,-0.24271,0.0482846
156.107755102,-204.625,37.5211,4.86015,3.78009,-3.35253,12.1175,-11.7564,6.76018,-6.48549,1.03237,-6.40558,4.62799,-4.57468,7.15288,-3.88279,2.72285,-2.67479,5.02342,-1.66763,-1.40881,2.38615
156.130975057,-207.498,37.7253,9.64007,0.456443,-1.6444,13.7442,-8.51781,5.55153,-7.34488,-1.24416,-3.75507,4.16984,-1.5882,6.57419,-5.13823,-0.0670494,-3.96491,5.09791,-2.53132,-0.42202,-0.319222
156.154195011,-227.061,42.4157,1.35233,3.04182,-4.59798,12.1313,-5.93367,9.84854,-9.95933,1.26768,-2.61147,4.64701,-0.184379,5.30981,-1.95241,1.49828,-2.00486,3.84066,-0.696598,-2.33263,1.40693
156.177414966,-230.227,43.9268,5.30193,3.99491,-1.26408,3.50546,-4.88528,8.04737,-4.69733,0.528486,-6.39232,3.61643,-3.04352,4.19849,-3.48188,1.19687,-3.22737,2.38242,-3.47676,-1.24528,1.49603
156.200634921,-233.129,41.9933,-2.81266,3.28049,-0.892609,3.0094,-4.2869,6.09,-4.80164,0.455888,-5.88025,2.39249,-6.15725,0.629642,-1.86225,-0.0984401,-5.45059,1.99084,-0.0428674,3.3483,0.943484
156.223854875,-221.644,42.0831,2.84345,5.47853,-0.0586346,1.41268,-4.01051,7.89756,-5.55748,2.11919,-6.6811,0.374579,-1.96533,1.95094,-5.75169,-0.220266,-3.49449,4.49333,-2.91436,0.909613,-0.625385
156.247074830,-205.842,27.0956,10.6445,6.02147,-1.78368,7.55082,-9.66519,7.51548,-6.66411,4.11043,-7.64022,0.0324975,-5.44506,4.56664,-5.79442,4.587,-1.01761,3.00492,-2.38101,3.3963,-0.952312
156.270294785,-202.813,23.574,11.0106,5.72775,-1.74234,9.00853,-6.45613,8.10609,-8.66116,5.42954,-7.84249,4.41964,-6.68629,5.46341,-4.58276,5.16902,-0.847105,1.47622,-0.300774,2.76097,-0.713605
156.293514739,-199.917,20.954,8.80091,7.94064,-0.541877,12.6509,-9.40653,12.9754,-7.97523,6.2047,-9.77904,-0.439976,-9.05199,3.98051,-5.46244,1.39346,-0.896252,3.03586,0.374936,3.19934,0.212184
156.316734694,-201.355,22.8391,10.667,6.67048,-2.01469,8.88296,-9.73759,13.4013,-7.79479,5.88035,-10.944,-1.1681,-7.95179,6.21739,-3.9416,1.99162,-0.862289,2.26342,0.442102,3.14696,-1.71312
156.339954649,-207.787,23.0929,6.32938,5.6639,-5.94525,9.62267,-9.36046,7.77373,-8.26528,3.64959,-10.5593,-0.664384,-4.12848,5.93718,-3.94919,3.23528,1.22241,3.30727,0.0286698,3.16929,-1.8366
156.363174603,-209.901,19.0571,6.32768,6.36437,-6.85298,9.18456,-14.3234,3.40722,-8.55455,2.91366,-10.6304,0.793655,-6.64145,3.89079,-1.22481,2.99121,-0.0558719,3.35888,1.22472,2.95571,-0.401114
156.386394558,-199.331,22.2955,6.42841,8.32856,-5.91312,9.38657,-11.4497,4.21304,-6.82926,5.68843,-9.25671,0.841471,-7.35229,3.67519,-2.26927,5.03392,0.377258,3.7439,-2.02827,3.53631,-1.24586
